prob,group,it,size,eax,eax.restart,lkh,lkh.restart,maos
lu980,national,0,980,2.64,2.91,1.48,1.47,5.56
lu980,national,1,980,3.05,2.56,0.57,1.5,3600
lu980,national,2,980,2.51,2.94,0.57,0.67,3600
lu980,national,3,980,2.75,2.84,0.63,1.81,5.88
lu980,national,4,980,2.95,2.76,1.14,4.69,6.32
lu980,national,5,980,2.9,2.51,1.82,1.62,6.85
lu980,national,6,980,2.55,2.52,0.92,1.21,3600
lu980,national,7,980,3600,7.53,0.71,1.77,7
lu980,national,8,980,3.12,3,0.63,0.71,5.73
lu980,national,9,980,2.69,2.91,1,2.7,5.65
mu1979,national,0,1979,9.78,9.46,1448.17,75.04,23.6
mu1979,national,1,1979,11.08,10.46,143.93,49.23,23.23
mu1979,national,2,1979,9.07,9.82,16.55,78.38,20.47
mu1979,national,3,1979,9.79,9.41,636.23,39.38,3600
mu1979,national,4,1979,10,10.84,68.57,228.21,24.5
mu1979,national,5,1979,10.05,9.16,18.4,71.96,22.17
mu1979,national,6,1979,10.01,11.42,15.77,48.83,22.88
mu1979,national,7,1979,9.73,10.21,123.72,8.16,22.06
mu1979,national,8,1979,9.78,15.44,15.58,59.85,22.59
mu1979,national,9,1979,10.43,12.01,312.58,17.97,23.35
rw1621,national,0,1621,4.03,4,3.21,13.4,10.28
rw1621,national,1,1621,4.18,4.49,4.71,5.15,3600
rw1621,national,2,1621,3600,12.66,5.03,53.03,8.38
rw1621,national,3,1621,3.5,4.72,11.4,1.24,8.72
rw1621,national,4,1621,3600,11.54,7.19,6.38,8.03
rw1621,national,5,1621,3.87,3.79,7.19,3.09,7.8
rw1621,national,6,1621,3.78,3.82,8.97,2.49,3600
rw1621,national,7,1621,3.66,3.89,10.13,14.82,8.42
rw1621,national,8,1621,3600,10.16,6.19,9.95,8.93
rw1621,national,9,1621,3600,19.77,8.63,3.2,9.19
uy734,national,0,734,2.94,2.88,0.84,0.94,3600
uy734,national,1,734,2.85,2.92,0.66,1.42,6.8
uy734,national,2,734,3600,24.12,3.09,1.39,7.18
uy734,national,3,734,5.54,8.26,2.09,0.86,3600
uy734,national,4,734,2.96,2.96,2.06,0.94,3600
uy734,national,5,734,3,2.87,3.21,1.89,8.51
uy734,national,6,734,3600,8.35,0.87,0.84,3600
uy734,national,7,734,3.01,2.91,3.04,0.96,6.96
uy734,national,8,734,2.98,2.62,0.74,0.99,3600
uy734,national,9,734,2.93,3.02,2.16,1.73,6.71
zi929,national,0,929,4.58,5.62,26.22,3.99,10.88
zi929,national,1,929,4.42,5.44,29.27,9.74,8.95
zi929,national,2,929,4.62,4.49,66.12,48.77,9.11
zi929,national,3,929,4.99,5.03,6.8,3.72,8.82
zi929,national,4,929,5.6,4.93,65.01,54.89,9.36
zi929,national,5,929,4.82,4.84,60.78,56.64,9.1
zi929,national,6,929,5.13,4.96,48.58,5.14,9.16
zi929,national,7,929,4.98,4.93,90.6,25.52,9.22
zi929,national,8,929,4.35,4.55,25.52,34.84,10.01
zi929,national,9,929,4.8,4.87,9.26,14.09,10.43
1000-10-1,netgen,0,1000,5.68,5.66,11.53,507.65,9.57
1000-10-1,netgen,1,1000,5.63,5.43,156.4,86.45,9.23
1000-10-1,netgen,2,1000,5.48,5.29,2.95,276.67,9.05
1000-10-1,netgen,3,1000,5.92,5.94,176.57,347.89,9.04
1000-10-1,netgen,4,1000,5.81,5.61,269.8,167.42,9.09
1000-10-1,netgen,5,1000,6.48,5.87,148.77,6.23,8.93
1000-10-1,netgen,6,1000,5.77,5.73,226.93,298.43,9.25
1000-10-1,netgen,7,1000,5.96,6.09,49.45,250.57,8.93
1000-10-1,netgen,8,1000,5.65,5.45,47.41,38.15,9.58
1000-10-1,netgen,9,1000,9.72,5.85,168.09,82.64,9.31
1000-10-10,netgen,0,1000,5.63,5.19,4.16,3,8.84
1000-10-10,netgen,1,1000,5.02,5.27,3.75,4.14,8.63
1000-10-10,netgen,2,1000,5.3,5.68,6.55,6.81,9.19
1000-10-10,netgen,3,1000,5.1,5.71,2.4,2.24,8.6
1000-10-10,netgen,4,1000,5.74,5.25,3.43,4.49,8.95
1000-10-10,netgen,5,1000,5.05,4.84,2.6,2.02,8.86
1000-10-10,netgen,6,1000,5.09,4.92,8.83,3.37,8.45
1000-10-10,netgen,7,1000,4.8,5.07,2.71,3.79,8.88
1000-10-10,netgen,8,1000,5.63,5.05,3.6,4.6,9.76
1000-10-10,netgen,9,1000,5.86,5.75,3.63,8.14,8.58
1000-10-11,netgen,0,1000,5.46,5.63,654.97,12.4,3600
1000-10-11,netgen,1,1000,6.05,5.28,73.27,109.37,3600
1000-10-11,netgen,2,1000,5.24,5.18,196.26,331.47,3600
1000-10-11,netgen,3,1000,5.7,5.81,145.11,539.39,3600
1000-10-11,netgen,4,1000,5.61,5.57,138.9,307.19,3600
1000-10-11,netgen,5,1000,5.65,6.63,201.02,81.53,3600
1000-10-11,netgen,6,1000,5.8,5.17,111.04,343.13,3600
1000-10-11,netgen,7,1000,3600,13.63,1785.61,66.47,3600
1000-10-11,netgen,8,1000,5.74,5.9,104.3,311.76,3600
1000-10-11,netgen,9,1000,5.34,5.58,156.02,69.88,3600
1000-10-12,netgen,0,1000,4.87,5.05,32,23.11,8.96
1000-10-12,netgen,1,1000,5.17,4.81,3.06,18.42,9.68
1000-10-12,netgen,2,1000,5.44,5.15,12.47,25.35,8.17
1000-10-12,netgen,3,1000,5.73,5.05,5.07,13.7,8.58
1000-10-12,netgen,4,1000,4.97,5.27,6.82,3.56,8.1
1000-10-12,netgen,5,1000,5.1,6.34,6.43,10.65,8.9
1000-10-12,netgen,6,1000,5.24,5.16,3.92,14.18,8.78
1000-10-12,netgen,7,1000,5.17,5.02,7.76,35.45,8.82
1000-10-12,netgen,8,1000,5.28,4.94,13.02,11.44,8.81
1000-10-12,netgen,9,1000,5.22,5.13,3.22,6.71,8.9
1000-10-13,netgen,0,1000,3600,12.87,1.84,3.82,9.59
1000-10-13,netgen,1,1000,3600,34.07,12.81,14.24,8.4
1000-10-13,netgen,2,1000,5.35,5.93,6.79,4.6,8.6
1000-10-13,netgen,3,1000,5.33,5.56,5.57,7.45,10.09
1000-10-13,netgen,4,1000,3600,12.19,4.72,5.54,9.11
1000-10-13,netgen,5,1000,5.7,6.47,4.93,3.88,9.03
1000-10-13,netgen,6,1000,5.11,6.69,7.69,8.75,8.98
1000-10-13,netgen,7,1000,5.57,5.49,7.25,6.93,3600
1000-10-13,netgen,8,1000,6.03,5.41,3.36,7.93,9.03
1000-10-13,netgen,9,1000,3600,14.31,3.83,2.69,10.41
1000-10-14,netgen,0,1000,8.8,5.02,5.78,5,8.85
1000-10-14,netgen,1,1000,5.75,5.18,6.47,10.46,9.61
1000-10-14,netgen,2,1000,5.26,5.13,10.62,6.17,9.43
1000-10-14,netgen,3,1000,5.28,5.92,7.68,7.11,8.83
1000-10-14,netgen,4,1000,5.37,5.47,8.14,6.1,8.39
1000-10-14,netgen,5,1000,5.19,5.85,27.17,5.56,8.92
1000-10-14,netgen,6,1000,5.18,5.58,7.95,4.11,8.51
1000-10-14,netgen,7,1000,5.43,5.79,8.91,3.03,9.05
1000-10-14,netgen,8,1000,5.27,5.29,8.5,4.09,9.21
1000-10-14,netgen,9,1000,5.71,5.17,4.69,7.59,9.28
